T(sec)	Sa(cm/s2)
13.4	26.355
13.41	19.3351
13.42	10.1921
13.43	4.4748
13.44	4.855
13.45	10.0769
13.46	15.7687
13.47	16.4871
13.48	9.754
13.49	-0.5024
13.5	-6.6507
13.51	-5.4277
13.52	-1.5888
13.53	-1.3266
13.54	-4.0001
13.55	-3.9341
13.56	0.4436
13.57	3.5098
13.58	-0.6713
13.59	-11.7159
13.6	-24.2567
13.61	-32.7089
13.62	-33.3372
13.63	-25.1454
13.64	-11.549
13.65	0.9971
13.66	8.5384
13.67	12.1212
13.68	13.107
13.69	9.0175
13.7	-2.6212
13.71	-18.5108
13.72	-31.7379
13.73	-38.8619
13.74	-41.4697
13.75	-41.5891
13.76	-39.3861
13.77	-35.3727
13.78	-31.4656
13.79	-29.3956
13.8	-30.5828
13.81	-37.1855
13.82	-49.9015
13.83	-64.3194
13.84	-72.4787
13.85	-69.1379
13.86	-55.2384
13.87	-36.2169
13.88	-19.2293
13.89	-9.9605
13.9	-7.5591
13.91	-3.5731
13.92	8.6334
13.93	22.9921
13.94	24.986
13.95	8.5899
13.96	-16.148
13.97	-34.5858
13.98	-41.3532
13.99	-40.1606
14	-35.9581
14.01	-32.5602
14.02	-33.5701
14.03	-38.9958
14.04	-42.6715
14.05	-38.6159
14.06	-29.1921
14.07	-22.424
14.08	-22.108
14.09	-25.1078
14.1	-27.6483
14.11	-29.1202
14.12	-29.1911
14.13	-26.0744
14.14	-19.6148
14.15	-12.9034
14.16	-9.1106
14.17	-8.8426
14.18	-11.3613
14.19	-15.9247
14.2	-21.0412
14.21	-24.8031
14.22	-27.0359
14.23	-29.1894
14.24	-31.4682
14.25	-32.2765
14.26	-31.2376
14.27	-30.3737
14.28	-31.2281
14.29	-33.1457
14.3	-35.7139
14.31	-40.4269
14.32	-47.7227
14.33	-54.0382
14.34	-54.3508
14.35	-47.22
14.36	-35.7133
14.37	-23.859
14.38	-13.6044
14.39	-4.8163
14.4	3.1215
14.41	9.7129
14.42	12.7953
14.43	10.4025
14.44	4.0929
14.45	-0.7323
14.46	0.4054
14.47	6.3665
14.48	11.9454
14.49	13.6473
14.5	12.1628
14.51	9.5551
14.52	6.6587
14.53	4.0551
14.54	3.0793
14.55	3.8685
14.56	3.9475
14.57	0.9971
14.58	-3.8168
14.59	-7.5888
14.6	-10.2873
14.61	-14.8401
14.62	-21.9899
14.63	-27.6685
14.64	-27.2472
14.65	-20.9259
14.66	-13.2537
14.67	-8.45
14.68	-7.9066
14.69	-11.2264
14.7	-17.2806
14.71	-24.1506
14.72	-30.0103
14.73	-34.6752
14.74	-38.9643
14.75	-42.1427
14.76	-41.404
14.77	-34.6519
